N,Ec
140.0,6.481518518535543
138.0,6.5015772524129885
135.0,6.521635986290435
133.0,6.5416947201678814
130.0,6.561753454045328
128.0,6.5818121879227744
126.0,6.601870921800221
123.0,6.621929655677667
121.0,6.641988389555113
119.0,6.66204712343256
116.0,6.682105857310006
114.0,6.702164591187453
111.0,6.722223325064898
109.0,6.742282058942345
106.0,6.762340792819791
104.0,6.782399526697238
101.0,6.802458260574684
98.0,6.822516994452131
96.0,6.842575728329576
93.0,6.862634462207023
90.0,6.882693196084469
87.0,6.902751929961916
84.0,6.922810663839362
82.0,6.942869397716808
79.0,6.962928131594254
76.0,6.982986865471701
74.0,7.003045599349147
71.0,7.023104333226594
69.0,7.04316306710404
67.0,7.063221800981486
64.0,7.0832805348589325
62.0,7.103339268736379
60.0,7.1233980026138255
58.0,7.143456736491272
56.0,7.163515470368718
54.0,7.183574204246164
52.0,7.203632938123611
50.0,7.223691672001057
48.0,7.243750405878504
47.0,7.26380913975595
45.0,7.283867873633396
43.0,7.303926607510842
42.0,7.323985341388289
40.0,7.344044075265735
39.0,7.364102809143182
37.0,7.384161543020627
36.0,7.404220276898074
34.0,7.42427901077552
33.0,7.444337744652967
31.0,7.464396478530413
30.0,7.48445521240786
29.0,7.504513946285305
27.0,7.524572680162752
26.0,7.544631414040198
25.0,7.564690147917645
24.0,7.584748881795091
23.0,7.604807615672537
21.0,7.6248663495499835
20.0,7.64492508342743
19.0,7.6649838173048765
18.0,7.685042551182323
17.0,7.7051012850597695
17.0,7.725160018937215
16.0,7.745218752814662
15.0,7.765277486692108
14.0,7.785336220569555
13.0,7.805394954447001
13.0,7.825453688324447
12.0,7.845512422201893
11.0,7.86557115607934
11.0,7.885629889956786
10.0,7.905688623834233
9.0,7.925747357711679
9.0,7.945806091589125
8.0,7.965864825466571
8.0,7.985923559344018
7.0,8.005982293221464
7.0,8.02604102709891
7.0,8.046099760976357
6.0,8.066158494853804
6.0,8.08621722873125
6.0,8.106275962608695
6.0,8.126334696486142
5.0,8.146393430363588
5.0,8.166452164241035
5.0,8.186510898118481
5.0,8.206569631995928
5.0,8.226628365873374
5.0,8.24668709975082
5.0,8.266745833628267
5.0,8.286804567505714
5.0,8.30686330138316
5.0,8.326922035260605
5.0,8.346980769138051
5.0,8.367039503015498
5.0,8.387098236892944
5.0,8.40715697077039
5.0,8.427215704647837
